userName,score,content,final_review,cleaned_review,labeling ,predicted_label
Metal Coker,1,"film nya gak banyak menarik.. gak seru... pencarian gak pernah ada, kurang lengkap film nya , film hilang baru setahun... payah, sia sia bayar",film nya tarik seru cari lengkap film nya film hilang tahun payah sia sia bayar,film tarik seru cari lengkap film film hilang payah sia sia bayar,,netral
Nila Cristanti,4,"tolong ya ini saya sudah berlangganan baru 3 hari tiba-tiba tidak dapat connect to netflix, coba contact cs disuruh coba hapus penyimpanan pada settingan aplikasi namun ketika dicoba login kembali malah tidak bisa selalu terjadi kesalahan. saya coba dari TV juga tidak bisa. Gimana ini???",tolong langgan connect netflix coba contact suruh coba hapus simpan settingan aplikasi coba login salah coba gimana,tolong langgan connect coba contact suruh coba hapus simpan settingan coba login salah coba gimana,,negatif
25-Rivaldo syaifullah,1,"Yang terhormat pembuat aplikasi, saya sudah berhenti Langganan tapi saldo uang saya tersedot oleh aplikasi ini, ada bukti pembayaran juga dalam aplikasi, apakah boleh saya mengajukan pengembalian? karena saya juga tidak menginstal aplikasi ini dan tidak jadi berlangganan juga",hormat buat aplikasi henti langgan saldo uang sedot aplikasi bukti bayar aplikasi aju kembali menginstal aplikasi langgan,hormat henti langgan saldo uang sedot bukti bayar aju menginstal langgan,,negatif
Erwin Tanaya,1,ingin stop langganan,stop langgan,stop langgan,,negatif
Riski Akbar,1,nyedot uang dengan sendirinya,nyedot uang,nyedot uang,,negatif
Afriani AFRIANI,1,"kebanyakan loading, padahal sinyal ok nonton yt fb atau yg lain lancar2 aja, lama2 bikin kesal",banyak loading sinyal oke nonton lancar kesal,loading sinyal oke nonton lancar kesal,,positif
Telur Kambing Hitam,1,download tinggal 3% ga beres mulu,download tinggal beres mulu,download tinggal beres mulu,,negatif
Novi Purnama Sari,2,Ini tidak bisa di instal di tab yaa,instal tab yaa,instal tab yaa,,negatif
Rian Setiawan,1,udh byar gbsa dbuka taiii,byar gbsa dbuka tai,byar gbsa dbuka,,negatif
Nur rohman,2,susah,susah,susah,,negatif
Wiwi Oktaviani,1,susah loginnya anjir keluar trs ga jls mana udh bayar,susah loginnya anjir jls bayar,susah loginnya jls bayar,,negatif
Jeon “The Red Game” Bo Ram,1,"tiap kali pulang ke rumah harus ribet login lagi. konfirmasi sana sini. pake email , perbarui akun bla bla bla. asli tolol. bisa dipake di 4 device katanya. tapi tiap kali update harus login lagi. akhirnya netflix di rumah ga bisa dibuka kecuali gue bawa HP ini dan login ke rumah 800km jaraknya. bener bener sistem tolol.",kali pulang rumah ribet login konfirmasi pake email baru akun bla bla bla asli tolol dipake device kali update login netflix rumah buka kecuali gue bawa login rumah jarak bener bener sistem tolol,kali pulang rumah ribet login konfirmasi pake email akun bla bla bla asli dipake device kali update login rumah buka kecuali bawa login rumah jarak bener bener sistem,,negatif
Ariq Geo,3,ga ada the mission impossible the final reckoning,the mission impossible the final reckoning,the mission impossible the final reckoning,,positif
