userName,score,content,final_review,cleaned_review,labeling 
Naysila Maya,1,masak gak bisa masuk,masak masuk,masak masuk,netral
Azmira Alfa,1,"idih gk jelas, di bikin pusing pas mau daftar idih idih idih cuih",idih pusing pas daftar idih idih idih cuih,idih pusing pas daftar idih idih idih cuih,negatif
Rita Suhaeni,1,"sudah banget daftar netflix astaga bikin geram gagal terus, gangguan terus heran gua mah nih aplikasi global tapi kualitas buruk banget",banget daftar netflix astaga geram gagal ganggu heran gua mah aplikasi global kualitas buruk banget,banget daftar astaga geram gagal ganggu heran mah global kualitas buruk banget,negatif
firdaus,1,"perampok, uang didana berapa x ditarik otomatis padahal ud dioff kan",rampok uang dana tarik otomatis dioff,rampok uang dana tarik otomatis dioff,negatif
garong,1,kwkw sekelas Netflix Ga ada Anime Kingdom. kalah sama wibuku/animelovers yg gratisan. nyesel gua bayar,kwkw kelas netflix anime kingdom kalah wibuku animelovers gratis nyesel gua bayar,kwkw kelas anime kingdom kalah wibuku animelovers gratis nyesel bayar,
Syahwa Putri Kurniawan,5,Lancar,lancar,lancar,positif
Surya Ya,1,"knp pas mau login enggk bisa, pasword nya salah trus padahal bener",knp pas login enggk pasword nya salah trus bener,knp pas login enggk pasword salah bener,negatif
D.4 1rrad,3,sangat buruk dan harus pake premium,buruk pake premium,buruk pake premium,negatif
tubagus rahmat,3,oke,oke,oke,positif
Fatih amien,5,wow wow,wow wow,wow wow,netral
Dewi Roro,1,film lawas2 semua ga ada film terbaru. Aquaman g ada godzilla vs Kong g ada. apa yg mau di lihat. kirain mah netflix komplit ternyata ga wort it,film lawas film baru aquaman godzilla kong lihat kirain mah netflix komplit wort,film lawas film aquaman godzilla kong lihat kirain mah komplit wort,
xywoc,5,"👍maaf tapi tolong di permudahkan kalo nah login yah,",maaf tolong mudah kalo login yah,maaf tolong mudah kalo login yah,netral
Tri Sutrisno Putra Askar,1,"apa apaan, menyuruh membuat 5bakun agar bisa login di beberapa prangkat, baru login di 3 perangkat aja udah gak bisa dipakai",suruh bakun login prangkat login perangkat udah pakai,suruh bakun login prangkat login perangkat pakai,
naufal ahya aditya,1,vilm jelek langganan baru mau masuk buat email di suruh bayar mana mahal lagi dikira kita kaya gitu?,vilm jelek langgan masuk email suruh bayar mahal kaya gitu,vilm jelek langgan masuk email suruh bayar mahal kaya gitu,negatif
najah kreasi,3,"beri kami opsi untuk bisa mengeksplorasi film di beranda tanpa harus login/ berlangganan dahulu, untuk memberi kesempatan kami yg hanya sub bulanan, jika ada film baru atau yg menarik bisa jadi kami akan berlangganan",opsi eksplorasi film beranda login langgan sempat sub bulan film tarik langgan,opsi eksplorasi film beranda login langgan sub film tarik langgan,
Fauzen Uzen,1,gw udh 3 kali donload masi ngak bisa ribet banget lagi ni apl g jlas,kali donload mas ngak ribet banget apl jlas,kali donload mas ngak ribet banget apl jlas,negatif
Ambara Armadita,1,sampah,sampah,sampah,negatif
Adi Pogisalatiga75,5,top,top,top,
Domba Garut,5,walaupun agak susah tapi aku berusaha sebisa mungkin walau gagal Mulu tapi aku semangat biar bisa nonton di neflix,susah usaha bisa gagal mulu semangat biar nonton neflix,susah usaha gagal mulu semangat biar nonton neflix,
Arfi,1,"Saya sudah klik batalkan berlangganan, tapi masih saja nyedot saldo",klik batal langgan nyedot saldo,klik batal langgan nyedot saldo,negatif
Ar Juna,5,gacor tapi mahal juga 120.00ribu,gacor mahal ribu,gacor mahal ribu,
ehen jak,5,sangat nenarik,nenarik,nenarik,positif
Kamu Nanyak,1,masak gue daftar gak bisa bisa kan aplikasi tolol geram baget gue sampai hp hp gue banting. mending nonton di aplikasi vidio,masak gue daftar aplikasi tolol geram baget gue gue banting mending nonton aplikasi vidio,masak daftar geram baget banting mending nonton vidio,
Ligar Albenus,1,cuihh,cuihh,cuihh,negatif
BAKRI Bhabin,5,pokonx keren,pokonx keren,pokonx keren,positif
Alisya Andrea,1,daftar nya harus bayar. gw bokek lagi..,daftar nya bayar bokek,daftar bayar bokek,positif
Anis Aja,1,aplikasi ga bagus tolol mending kalian jangan download,aplikasi bagus tolol mending download,bagus mending download,
Sity Zaaa,1,apknya susah buat di daftarin udah ditulis akun gugel sama sandinya masih gk bisa,apknya susah daftarin udah tulis akun gugel sandi,apknya susah daftarin tulis akun gugel sandi,
Syahbabul Ahyar,1,aplikasi tolol gabisa dibuka jangan kalian download,aplikasi tolol gabisa buka download,gabisa buka download,negatif
max design bali,3,capek masukin password terus. sering gagal login.,capek masukin password gagal login,capek masukin password gagal login,negatif
Ju Bo,1,ini aplikasi sangat jelek dan tidak gratis,aplikasi jelek gratis,jelek gratis,negatif
Muhadi Adi,1,"login nya susah, pantesan sekarang murah",login nya susah pantesan murah,login susah pantesan murah,negatif
Syahdan Al-ghifari,1,"si anying aku baru download di suruh buat akun, tapi kok malah ditolak mulu anying anying",anying download suruh akun tolak mulu anying anying,anying download suruh akun tolak mulu anying anying,negatif
Rina Aja,1,bikin orng emosi,orng emosi,orng emosi,negatif
Seven Seas,1,ko tombol download nya hilang. tujuan aku langganan biar bisa nonton offline di HP,tombol download nya hilang tuju langgan biar nonton offline,tombol download hilang tuju langgan biar nonton offline,negatif
Putri,5,mantap,mantap,mantap,positif
nur Farillah,5,makin ke sini maki susah apknya,maki susah apknya,maki susah apknya,negatif
Rinjani Terra Mustika,1,saya sudah batalkan keanggotaan 3 bulan yg lalu tetapi saldo gopay saya setiap bulan selalu terpotong!!,batal anggota saldo gopay potong,batal anggota saldo gopay potong,negatif
Nur Istianto,1,sulit cara masuk akun atau pendaftaran nya!!!,sulit masuk akun daftar nya,sulit masuk akun daftar,
Windu Kurniawan,5,semenjak ada wwe langganan trussss,semenjak wwe langgan trus,semenjak wwe langgan,positif
Putra Ramadhan,1,nnton kek tv hilang signal haduh hampir film gitu,nnton kek hilang signal haduh film gitu,nnton kek hilang signal haduh film gitu,
Selfi Jessica,1,capek pake netflix.. udah bayar ga bisa nonton.. hadeeeeh,capek pake netflix udah bayar nonton hadeh,capek pake bayar nonton hadeh,
Zins,5,bagus,bagus,bagus,positif
Alfa Radiah Zulka,4,"Saya berterima kasih kepada Netflix atas koleksi anime yang sudah disediakan. Namun, saya merasa sedikit kecewa karena banyak anime populer yang hanya tersedia satu musim. Saya memahami bahwa hal ini mungkin disebabkan oleh masalah lisensi dan hak cipta. Akan tetapi, saya berharap Netflix bisa lebih transparan mengenai masa berlaku lisensi untuk setiap judul, sehingga kami sebagai pelanggan bisa lebih memahami mengapa konten tertentu tidak tersedia secara lengkap. 🖖🏻",terima kasih netflix koleksi anime sedia kecewa anime populer sedia musim paham sebab lisensi hak cipta harap netflix transparan laku lisensi judul langgan paham konten sedia lengkap,terima kasih koleksi anime sedia kecewa anime populer sedia musim paham lisensi hak cipta harap transparan laku lisensi judul langgan paham konten sedia lengkap,
Zainal Hakim,5,"tolong dong berikan ke Adilan untuk kami yang langganan legal, tolong berikan hukuman kepada orang-orang yang langganan elegal lewat fitur sharing akun tolong di tindak jangan di biarkan",tolong adil langgan legal tolong hukum orang orang langgan elegal fitur sharing akun tolong tindak biar,tolong adil langgan legal tolong hukum orang orang langgan elegal fitur sharing akun tolong tindak biar,
Muh.Taufik Hidayat,5,tolong kedepannya update film² keren lagi,tolong depan update film keren,tolong update film keren,
Arya,1,"Apl ga guna, ber tele tele cuman untk masuk, Banyak cing cong banyak itu lah apa lah, jadi hilang mood gw buat nonton. Ga guna buat susah org, ribettt .............................................................................................apl smph",apl ber tele tele cuman untk masuk cing cong hilang mood nonton susah org ribet apl smph,apl ber tele tele cuman untk masuk cing cong hilang mood nonton susah ribet apl smph,negatif
Wat Wat,3,"nice ,💪👍😘",nice,nice,positif
Surya Ncuy,2,jelek,jelek,jelek,negatif
Dalam Jutuh,3,"jujur saya suka dengan aplikasi ini, tapi pendaftaran nya benar² bikin saya emosi padahal data yg saya isi sudah sesuai, tapi selalu gagal",jujur suka aplikasi daftar nya emosi data isi sesuai gagal,jujur suka daftar emosi data isi sesuai gagal,
Anton Lee,2,"paling ribet buat beli paket lagi, susah masuk nya padahal Uda isi saldo tapi kaga bisa bayar",ribet beli paket susah masuk nya uda isi saldo kaga bayar,ribet beli paket susah masuk uda isi saldo kaga bayar,
Yolan Fajriani,2,"Netflix sedang kenapa ya sudah 2hari netflix saya tdk bisa menonton, memuat teruss sedangkan tagihan masih 1minggu lagi,,lihat banyak ulasan juga pd begitu.. tolong diperbaiki lagi! kalo sudah diperbaiki saya akan ganti rating bintangnya",netflix netflix tdk tonton muat teruss tagih minggu lihat ulas tolong baik kalo baik ganti rating bintang,tonton muat teruss tagih minggu lihat ulas tolong kalo ganti rating bintang,
Didi Sukasna,5,"semakin berkelas, min promo dapat berlangganan setahun yang resmi dapat dimana?",kelas min promo langgan tahun resmi mana,kelas min promo langgan resmi,positif
Rafta ardiansa,1,kenapa saya mau berlangganan ga ada pilihan pakai ewallet atau bank Indonesia?,langgan pilih pakai ewallet bank indonesia,langgan pilih pakai ewallet bank indonesia,
Ditya Felix,1,setelah update tidak dapat login ke akun,update login akun,update login akun,netral
Niko A47,5,Terbaik netflix update film terbaru terus👍🏼,baik netflix update film baru,update film,netral
Muhammad Heru,5,😁😎👍🏻 Ya Like Ok,like oke,like oke,positif
Jo Van,1,jelek bangt jangan mau dowlod,jelek bangt dowlod,jelek bangt dowlod,negatif
Vicky Ahmad Kassem,1,"tolong perbaiki ini apk kenapa saya udh bayar atau berlangganan kok malah gk bisa nonton , tulisanya dstu saldo berkurang dan ubah metode pembayaran, aneeh padhl kan udah daftar, waduh ini sama saja penipuan namanya tlong adminnn perbaiki ini tidak bagus untuk kepuasan pelanggan ..",tolong baik apk bayar langgan nonton tulisanya dstu saldo kurang ubah metode bayar aneeh padhl udah daftar tipu nama tlong admin baik bagus puas langgan,tolong bayar langgan nonton tulisanya dstu saldo ubah metode bayar aneeh padhl daftar tipu nama tlong admin bagus puas langgan,
Fajar Nur Rahman,1,"aplikasi tolol haram,email sama sandi udah bener tapi ko gak bisa masuk??? bego bego",aplikasi tolol haram email sandi udah bener masuk bego bego,haram email sandi bener masuk bego bego,negatif
Maheswara Anggara,5,mantap,mantap,mantap,positif
Ihsan Erlangma,1,aplikasi tolol banyak error nya saya mau login pake nomor dan nomor nya udah bener tapi gak bisa login aneh ni aplikasi,aplikasi tolol error nya login pake nomor nomor nya udah bener login aneh aplikasi,error login pake nomor nomor bener login aneh,negatif
The UNIVERSE,1,aplikasi loading,aplikasi loading,loading,netral
Raisa Eka putru,5,"karna netflix lebih baik dari pada wetv banyak iklannya , mana lama ada 5 menitan iklannya . untung saya inget ,kan ada netflix. tapi saya takut netflix bayar",karna netflix wetv iklan menit iklan untung inget netflix takut netflix bayar,karna wetv iklan menit iklan untung inget takut bayar,
Bitha Ikhsani,1,daftar nya susah banget,daftar nya susah banget,daftar susah banget,negatif
yanaura syifa,1,tidak sesuai ekspektasi,sesuai ekspektasi,sesuai ekspektasi,positif
Immanuel Ersa,1,aplikasi la baga-baga,aplikasi baga baga,baga baga,
n,1,APASIH BERBAYAR 🙄,apasih bayar,apasih bayar,negatif
?,1,"pencuri, hati hati yg langganan netfil pencuri",curi hati hati langgan netfil curi,curi hati hati langgan netfil curi,
Dhifa Dhia,5,memudahkan dalam menonton sinema².. terima kasih 🙏🏼,mudah tonton sinema terima kasih,mudah tonton sinema terima kasih,netral
Aisyah Nafisatul Ibadiyah,1,gk jelas dari tadi udah pasang loh satu bintang>:(,udah pasang loh bintang,pasang loh bintang,netral
Riska Prasiwidya,1,sangat buruk.. saya udah 4 hari out off aja ngak bisa msuk.. padahal email benar,buruk udah out off ngak msuk email,buruk out off ngak msuk email,negatif
Alexis Tommars,1,"Netflix ini knp ya? Dr kmrn² mau nonton tp loading mulu. Kl liat trailer aman jaya, giliran mau di tonton fullnya, loading mulu. Pdhl jaringan internet aman banget. Udh brp hr ini di coba gitu terus. Performa netflix knp jd makin buluk sih?",netflix knp kmrn nonton loading mulu liat trailer aman jaya gilir tonton fullnya loading mulu pdhl jaring internet aman banget brp coba gitu performa netflix knp buluk sih,knp kmrn nonton loading mulu liat trailer aman jaya gilir tonton fullnya loading mulu jaring internet aman banget brp coba gitu performa knp buluk sih,
Anto RJH (Rumah Jasa & Hukum),2,"Tiap nonton selalu ngebug dan ngelag, pakai wifi yang lumayan tinggi Mbps nya...tolong perbaiki jika masih mau banyak pelanggan",nonton ngebug ngelag pakai wifi lumayan mbps nya tolong baik langgan,nonton ngebug ngelag pakai wifi lumayan mbps tolong langgan,
Irawati Firdiyansari,1,"ngiklan horor malem malem, gila lu",ngiklan horor malem malem gila,ngiklan horor malem malem gila,netral
Jus Eka,5,"keren,mudah mudahan akan lebih baik lgi",keren mudah mudah lgi,keren mudah mudah lgi,positif
noyeaavz,1,buruk gabisa login akun sndiri pdhl sandi udh betull anehhh,buruk gabisa login akun sndiri pdhl sandi betull aneh,buruk gabisa login akun sndiri sandi betull aneh,negatif
M S,5,capekk kadang susah login entah apa yang salah 🤦‍♀️,capekk kadang susah login salah,capekk kadang susah login salah,negatif
Ilham Musyadt,1,susah banget buat login,susah banget login,susah banget login,negatif
fadhli yannur,4,Thank you,thank you,thank you,positif
Maria Aurelli,1,install uninstall ulang terus grgr pencet masuk malah ke akun baru :(,install uninstall ulang grgr pencet masuk akun,install uninstall ulang grgr pencet masuk akun,
Muhammad Noval,3,"sering ngebug, tidak bisa diputar dengan alasan sudah diputar lebih dari 1 perangkat, padahal cuman login di satu perangkat",ngebug putar alas putar perangkat cuman login perangkat,ngebug putar alas putar perangkat cuman login perangkat,
Putri Melani,3,"ribet harus daftar ,daftar nya pun sulit",ribet daftar daftar nya sulit,ribet daftar daftar sulit,negatif
XR:YT AXEL MIRA,1,gak bisa daftar akun...,daftar akun,daftar akun,netral
syehful,5,good,good,good,positif
Tri Saputra Ananda,1,gak jelas padahall sandi udah betul email betul tapi salah katanyap,padahall sandi udah email salah katanyap,padahall sandi email salah katanyap,
Muhamad Herdiyansyah,5,"bagus, cuma kurang lengkap aja",bagus lengkap,bagus lengkap,positif
Binar Azzanira,5,"harga biaya bulanan terjangkau, mudah di akses dan series film nya banyak kualitas sudah pasti hd🤩🥳",harga biaya bulan jangkau mudah akses series film nya kualitas,harga biaya jangkau mudah akses series film kualitas,positif
iBoy,1,"apl sampah, memeras, masuk aja harus berlangganan dlu, pepek",apl sampah peras masuk langgan dlu pepek,apl sampah peras masuk langgan dlu pepek,negatif
Muhammad Indrawan,1,"Netflix terlalu banyak masalah , filmnya ga update seperti bioskop",netflix film update bioskop,film update bioskop,netral
Ayu Putri Daryanto II,1,"aplikasi gajelas demi, anj",aplikasi gajelas anj,gajelas,negatif
Ridho Alief Saputra,5,"netflix bagus,tanpa sensor",netflix bagus sensor,bagus sensor,
Dafa Yuda,5,aku masuk tapi kok bayar kenapa harus pergi,masuk bayar pergi,masuk bayar pergi,
pandu pratama,1,"when login my screen show notif cant connect Netflix, though i checked there are no connection issue with my provider",when login screen show notif cant connect netflix though checked there are connection issue with provider,when login screen show notif cant connect though checked there are connection issue with provider,
MUSIC LOVERS ID,5,bagus nan mahal,bagus nan mahal,bagus nan mahal,
cino capu,5,bagus keren semoga film2 nya lebih lengkap,bagus keren moga film nya lengkap,bagus keren moga film lengkap,positif
Muhamad Ibil ilyas,1,"Apk gak jelas anj....mau daftar ribet amat bolak balik terus, berbayar doang tapi gak sesuai sama kualitasnya!!!!",apk anj daftar ribet bolak bayar doang sesuai kualitas,daftar ribet bolak bayar doang sesuai kualitas,
Mihyar Al Fateeh,1,"APK FILM PALING SAMPAH, TOLONG DI HAPUS",apk film sampah tolong hapus,film sampah tolong hapus,negatif
Tien Prihatin,4,netflix ku kenapa ya dari semalam ga bisa putar film?,netflix malam putar film,malam putar film,netral
Rizki Agustina,1,tiba tiba bayar sendiri cuih,bayar cuih,bayar cuih,negatif
Rahman 27,1,thqy ga bisa login anj,thqy login anj,thqy login,netral
Jhelita Aristawaty,2,"mau bikin akun baru, ada 2 pilihan antara email atau bisa juga no hp, giliran pake no hp ngga bisa, ngga masuk², ngga lanjut². kaya gitu ngapain ngasih 2 opsi? wkwkwk",akun pilih email gilir pake ngga ngga masuk ngga kaya gitu ngapain ngasih opsi wkwkwk,akun pilih email gilir pake masuk kaya gitu ngapain ngasih opsi,
Naufal Syahputra,5,tolong tambahkan fitur timer sleep,tolong tambah fitur timer sleep,tolong fitur timer sleep,netral
abu muhammad,5,jos,jos,jos,positif
Indra Indra,5,tolong jangan bayar ya,tolong bayar,tolong bayar,
Dimas Wahyudi,1,"kecewa dengan Netflix yang memotong lansg uang saya, tnpa saya konfirmasi",kecewa netflix potong lansg uang tnpa konfirmasi,kecewa potong lansg uang tnpa konfirmasi,negatif
Puji Pangestu,1,BANYAK DUBBING. GILA,dubbing gila,dubbing gila,negatif
Finlirik,1,kecewa,kecewa,kecewa,negatif
Apry saputra,1,bisa gak saldo ku jagan d potong trusss,saldo jagan potong trus,saldo jagan potong,
Berak Inisana.,1,kecing apk ne dadak di kei akun gogle barang as,cing apk dadak kei akun gogle barang,cing dadak kei akun gogle barang,
Fitri Damayanti,1,karena ada email sama sandi,email sandi,email sandi,
Faiz Ibnu,1,"woy yang bener lah ini aplikasi gmn sih, lagi nonton malah tiba tiba pixel pixel layarnya padahal beli yang resolusi 720 woy anj tolol bener dikit lah, bug nya banyak amat anj kntl anj anj bgst",woy bener aplikasi gmn sih nonton pixel pixel layar beli resolusi woy anj tolol bener dikit bug nya anj kntl anj anj bgst,woy bener gmn sih nonton pixel pixel layar beli resolusi woy bener dikit bug kntl bgst,negatif
Fachriza Jayadimansyah,5,menonton sangat puas.,tonton puas,tonton puas,positif
Gladys Gracya Lalenoh,1,Ga akaj berlangganan lagi. selalu household. bener-bener merugikan.,akaj langgan household bener bener rugi,akaj langgan household bener bener rugi,negatif
Panji Satria abyan,2,tolong dong gak usah ada pembayaran,tolong bayar,tolong bayar,netral
Steven Falevi,2,"saya menggunakan 2 ponsel untuk menonton netflix, jadi awal nya lancar' aja dan sampe akhirnya di hp yang samsung saya loading lama dan ga bisa nonton sama sekali, bahkan untuk download aja ga bisa, tapi di hp yang oppo aman' aja, sudah saya hapus apk ny dan download kembali tapi masih saja ga bisa, padahal 1 jaringan, tolong ya di berikan solusi atau di buat jadi lebih baik lagi untjk netflix",ponsel tonton netflix nya lancar sampe samsung loading nonton download oppo aman hapus apk nya download jaring tolong solusi untjk netflix,ponsel tonton lancar sampe samsung loading nonton download oppo aman hapus download jaring tolong solusi untjk,
Abdi Raja,1,padahal udh di download tetep ga bisa di putar film nya tulisan nya memuat mulu,download tetep putar film nya tulis nya muat mulu,download tetep putar film tulis muat mulu,
Yani Maryani,1,Auto delete...mau daftar aja susah,auto delete daftar susah,auto delete daftar susah,negatif
Donny Karouw,1,"film actionnya kurang bnyk, banyak film yg bahula pula",film actionnya bnyk film bahula,film actionnya bnyk film bahula,netral
Seni Januarti,1,"Mau masuk doang suruh bayar dulu pake kartu atm lagi , gimana sama yang gapunya atm.mau nnton juga ribet amat mesti pake ini itu auto unsinstall .",masuk doang suruh bayar pake kartu atm gimana gapunya atm nnton ribet mesti pake auto unsinstall,masuk doang suruh bayar pake kartu atm gimana gapunya atm nnton ribet mesti pake auto unsinstall,
Silvester Renggo,5,good,good,good,positif
Anah Karlina,1,TOLOL GA BISA MASUK DISURUH TUNGGU BEBERAPA SAAT MULUU,tolol masuk suruh tunggu muluu,masuk suruh tunggu muluu,
Juniar ilman Mazidan,1,"aplikasi sampah, langganan premium sampai 3 bulan gak di kasih tau kalo saldo bisa kesedot, gak asik, padahal niat nya cuma 1 bulan aja.",aplikasi sampah langgan premium kasih tau kalo saldo sedot asik niat nya,sampah langgan premium kasih tau kalo saldo sedot asik niat,
Ya Bener,1,balikin saldo gua woi masa iya udah di berhentiin langganan tetep narik saldo gua stres kali,balikin saldo gua woi iya udah berhentiin langgan tetep narik saldo gua stres kali,balikin saldo iya berhentiin langgan tetep narik saldo stres kali,negatif
Lynrv,1,"boikot, this disgusting app",boikot this disgusting app,boikot this disgusting,negatif
Davy Numairi Atthobari,1,make free bith,make free bith,make free bith,
NUR BAGUS PRASETYO,1,gak bisa membatalkan langganan jadinya saldo gopay saya terpotong,batal langgan saldo gopay potong,batal langgan saldo gopay potong,negatif
Doni Rohidin,1,"kecewa belum bisa kebuka NETFLIX, padahal sudah dibayar",kecewa buka netflix bayar,kecewa buka bayar,negatif
oryza nasrul,5,bgusa,bgusa,bgusa,positif
Edo Suhada,5,saya suka dengan aplikasi ini,suka aplikasi,suka,positif
Muhammad Nur Alias arman siman lammadek,5,okbos,okbos,okbos,netral
Fyxhyncx Rydhkv,1,woy uda di batalin langganannya. malah nagih trus🗿,woy uda batalin langgan nagih trus,woy uda batalin langgan nagih,negatif
Badai11 Ramdani,2,Karena saat membuat aku sandi salah terus padahal itu sandi udah ku catat dari lama kok salah tapi dari aplikasi lain sandi nya benar. apa kah Netflix nya yg error atau apa ni?,sandi salah sandi udah catat salah aplikasi sandi nya kah netflix nya error,sandi salah sandi catat salah sandi kah error,
S Seee,5,dah banyak film nya,dah film nya,dah film,
Ikbal Soleh,5,makasih Netflix saya jadi otaku atau orang lain bilang wibu🗿🤓,makasih netflix otaku orang bilang wibu,terima kasih otaku orang bilang wibu,
matcha's4u,5,"sedikit saran adalah di fitur daftar saya itu ditambahin filternya sesuai genre, jadi lebih menyesuaikan keinginan lagi mau nonton genre apa gitu yakan (kalo aku fitur daftar saya buat kurang lebih kayak ""tonton nanti"" di ytb gitu) & yang kedua saran untuk tambahin menu daftar2 movie/series yang udah kita tonton/selesaiin, kayak otomatis aja gitu. dan sedikit curhat aku banyak ketinggalan serial terbatas:), lowkey tidak mengenakan aja gitu karena time goes fast/waktu aku tidak selalu cukup.",saran fitur daftar ditambahin filter sesuai genre sesuai nonton genre gitu yakan kalo fitur daftar kayak tonton ytb gitu saran tambahin menu daftar movie series udah tonton selesaiin kayak otomatis gitu curhat tinggal serial batas lowkey kena gitu time goes fast,saran fitur daftar ditambahin filter sesuai genre sesuai nonton genre gitu yakan kalo fitur daftar kayak tonton ytb gitu saran tambahin menu daftar movie series tonton selesaiin kayak otomatis gitu curhat tinggal serial batas lowkey kena gitu time goes fast,
Fadil Akmad Fadhil,1,kenapa harus bayar ku kira ga harus bayar mahal lagi dari tadi banyakk masalah buat masuk nya,bayar bayar mahal banyakk masuk nya,bayar bayar mahal banyakk masuk,
Riky Suardy,1,tidak bagus terlalu banyak permintaan,bagus minta,bagus,positif
Adelia Putri,5,"apknya bagus cuma film nya kurang lengkap banyak film"" seru gada di sini pdhl film nya udah lama",apknya bagus film nya lengkap film seru gada pdhl film nya udah,apknya bagus film lengkap film seru gada film,positif
Mrsh Bzhy,1,"hobi banget anjir 5.10, padahal jaringan aman2 aja. buka platform streaming lain jg aman kok, perbaiki deh ya. pantesan ratingnya makin anjlok!",hobi banget anjir jaring aman buka platform streaming aman baik deh pantesan ratingnya anjlok,hobi banget jaring aman buka platform streaming aman pantesan ratingnya anjlok,negatif
Zidane Ganteng,5,bisa nonton sepuasnya bro😁,nonton puas bro,nonton puas,positif
Nizar Raihan,5,perbanyak film yang baru baru,banyak film,film,
Ariani Adha,1,ini kalu login harus keanggotaan dulu gitu?,kalu login anggota gitu,kalu login anggota gitu,
Anhy Anhy,2,gpp sih,gpp sih,gpp sih,
DIMAS AJISOKO,1,engga bisa masuk pake password bikin aplikasi berlangganan mahal tapi ngga bisa login,engga masuk pake password aplikasi langgan mahal ngga login,engga masuk pake password langgan mahal login,
Juliasni Y018,2,"apk jelek anjirr susah banget masuk nya , sdh buat akun msh gk bsh masuk",apk jelek anjirr susah banget masuk nya sdh akun msh bsh masuk,jelek anjirr susah banget masuk sdh akun bsh masuk,negatif
Tharom Sutaeb,1,ribet banget bayarnya,ribet banget bayar,ribet banget bayar,
Awal Endah Devi Nursanti,1,"Saya sudah membayar paket Netflix melalu gopay, dan pembayaran berhasil. Tapi akun Netflix saya malah ditangguhkan katanya pembayaran tidak terverifikasi",bayar paket netflix lalu gopay bayar hasil akun netflix tangguh bayar verifikasi,bayar paket gopay bayar hasil akun tangguh bayar verifikasi,
Gwen Stefani,1,"Super disappointed with Netflix's selection! Can't believe they're missing some of the best shows like 'Love Revolution', 'Study Group', and 'Twinkling Watermelon'. What's the point of having a streaming service if they don't have the content I want? Until they add these shows, I'll be canceling my subscription.",super disappointed with netflix selection can believe they missing some the best shows like love revolution study group and twinkling watermelon what the point having streaming service they don have the content want until they add these shows canceling subscription,super disappointed with selection can believe they missing some the best shows like love revolution study group and twinkling watermelon what the point having streaming service they don have the content want until they add these shows canceling subscription,
Aina Mardiyah,2,gk bisa pake google kah min masuk nya kesusahan saya pake email,pake google kah min masuk nya susah pake email,pake google kah min masuk susah pake email,
leha naila,1,Aflikasi tai g bsa d bka,aflikasi tai bsa bka,aflikasi bsa bka,
