userName,score,content,final_review
Felycia Yenni liemowa,3,𝖺𝗀𝖺𝗄𝗍𝗂𝖽𝖺𝗄𝖻𝖺𝗀𝗎𝗌,
yayat novita,1,"aplikasi jelek , film tidak lengkap , sedikit sedikit harus upgrade berbayar gak bagus buat di bayar dan di download",aplikasi jelek film lengkap upgrade bayar bagus bayar download
Adam levine,1,Krn mau beli paket dulu biar bisa liat video,krn beli paket biar liat video
ini ano,1,makin lama makin aneh makin mahal makin gajelas kalau ada eps baru tbtb ilang2 sendiri njirla,aneh mahal gajelas eps tbtb ilang njirla
Dewi Anita,4,"ne s s s. ,,$___@s",
Meilan MELODY J,1,"tidak bisa nonton di TV, Tidak bisa juga pakai pencerminan pintar dari hape ke TV. sementara WE TV, IQIYI bisa tuh.",nonton pakai cermin pintar hape iqiyi tuh
Itachi Akatsuki,1,jelek harus bebayar,jelek bebayar
Ahmad Rivaldi,2,tolong reffund saldo yang di sedot secara tiba-tiba,tolong reffund saldo sedot
Zena Cell,5,Netflix bagus 👍,netflix bagus
Alimuddin Alimuddin,1,netflix ribet amat daftar ny,netflix ribet daftar nya
Wen Salindra,1,"ga jelas ni apk, udah siap Downloadterus ufah buat akun eh malah di suruh perbaharaui ini itu lah apa lah, udah siap itu nanti enta apa lagi, mending saya uninstal aja lah",apk udah downloadterus ufah akun suruh perbaharaui udah enta mending uninstal
akrom resa_,1,buruk,buruk
Metal Coker,1,"film nya gak banyak menarik.. gak seru... pencarian gak pernah ada, kurang lengkap film nya , film hilang baru setahun... payah, sia sia bayar",film nya tarik seru cari lengkap film nya film hilang tahun payah sia sia bayar
Riska Nauly Rambe,1,"jelek bgt, rugi berlangganan sama Netflix!!!",jelek banget rugi langgan netflix
Am Mod,1,"uang saya kesedot sendiri, padahal gaada niat langganan, mohon kembalikan uang saya",uang sedot gaada niat langgan mohon kembali uang
Kurniawan Dian,1,konten anak berisi lgbt,konten anak isi lgbt
Nila Cristanti,4,"tolong ya ini saya sudah berlangganan baru 3 hari tiba-tiba tidak dapat connect to netflix, coba contact cs disuruh coba hapus penyimpanan pada settingan aplikasi namun ketika dicoba login kembali malah tidak bisa selalu terjadi kesalahan. saya coba dari TV juga tidak bisa. Gimana ini???",tolong langgan connect netflix coba contact suruh coba hapus simpan settingan aplikasi coba login salah coba gimana
25-Rivaldo syaifullah,1,"Yang terhormat pembuat aplikasi, saya sudah berhenti Langganan tapi saldo uang saya tersedot oleh aplikasi ini, ada bukti pembayaran juga dalam aplikasi, apakah boleh saya mengajukan pengembalian? karena saya juga tidak menginstal aplikasi ini dan tidak jadi berlangganan juga",hormat buat aplikasi henti langgan saldo uang sedot aplikasi bukti bayar aplikasi aju kembali menginstal aplikasi langgan
Erwin Tanaya,1,ingin stop langganan,stop langgan
Ida 123,1,gak lengkap dan sudah login dan susah masuk ke dalam apk ini,lengkap login susah masuk apk
Riski Akbar,1,nyedot uang dengan sendirinya,nyedot uang
Afriani AFRIANI,1,"kebanyakan loading, padahal sinyal ok nonton yt fb atau yg lain lancar2 aja, lama2 bikin kesal",banyak loading sinyal oke nonton lancar kesal
On Bold,1,"saran saya sebelum langganan dengan Netflix ada baiknya lihat ulasan orang lain terlebih dahulu,,saya menyesal berlangganan dengan Netflix,, sangat kecewa",saran langgan netflix baik lihat ulas orang sesal langgan netflix kecewa
Telur Kambing Hitam,1,download tinggal 3% ga beres mulu,download tinggal beres mulu
Krisman Batubara,5,mantap,mantap
Andika,1,"males banget ngentottt, mau batalin aja ga mau",males banget ngentot batalin
sat ria,1,ku blacklist apl ini dari hidupku,blacklist apl hidup
putu widiantara,4,ribet settingan ke smart tv,ribet settingan smart
Fina Fina,4,tempat nonton film yang sangat pas,nonton film pas
Rini Anugrah86,5,bagus banget,bagus banget
Novi Purnama Sari,2,Ini tidak bisa di instal di tab yaa,instal tab yaa
Koboy Timur Raja Mars minicraft,1,kembalikan saldo saya. saya sudah berhenti berlangganan kenapa masih di potong.,kembali saldo henti langgan potong
Mujib Syawaludin,5,susah masuk apalah ini aplikasi,susah masuk apa aplikasi
Rian Setiawan,1,udh byar gbsa dbuka taiii,byar gbsa dbuka tai
dhnti dhnti,1,apk terbangsat,apk bangsat
Nur rohman,2,susah,susah
Subhan Muhammad,5,mantap,mantap
Wiwi Oktaviani,1,susah loginnya anjir keluar trs ga jls mana udh bayar,susah loginnya anjir jls bayar
Jeon “The Red Game” Bo Ram,1,"tiap kali pulang ke rumah harus ribet login lagi. konfirmasi sana sini. pake email , perbarui akun bla bla bla. asli tolol. bisa dipake di 4 device katanya. tapi tiap kali update harus login lagi. akhirnya netflix di rumah ga bisa dibuka kecuali gue bawa HP ini dan login ke rumah 800km jaraknya. bener bener sistem tolol.",kali pulang rumah ribet login konfirmasi pake email baru akun bla bla bla asli tolol dipake device kali update login netflix rumah buka kecuali gue bawa login rumah jarak bener bener sistem tolol
Nona jingga,1,ruk buruk,ruk buruk
Erna Rumsaur,5,🙏,
Ariq Geo,3,ga ada the mission impossible the final reckoning,the mission impossible the final reckoning
Ceuce Onah Marqonah,1,"I really don't like this application, because there are several films and dramas that are not available or not shown in this application, so it's useless to subscribe if it's not complete, for example the One Piece cartoon series is not complete, there are several episodes that are not available or not shown in this application, it's really frustrating to have to subscribe to another application... this is the same as being very detrimental, paying a lot but there is no choice of films that you",really don like this application because there are several films and dramas that are not available not shown this application useless subscribe not complete for example the one piece cartoon series not complete there are several episodes that are not available not shown this application really frustrating have subscribe another application this the same being very detrimental paying lot but there choice films that you
M. Rzky.D,1,"apk kadang error sendiri,gabisa login,too many login attemps padahal yang login cuma gw,ke log out terus",apk kadang error gabisa login too many login attemps login log out
Vincent Anton,5,Luar Biasa mantap!!! Tolong tambahkan game WWE 2025 Netflix Edition di Indonesia agar saya bisa men download dan memainkannya...,mantap tolong tambah game wwe netflix edition indonesia men download main
familly,1,tolol g bisa daftar,tolol daftar
Azzahra Gartini,5,selalu puas buat dipake maraton atau nungguin drama korea kesayangan,puas dipake maraton nungguin drama korea sayang
Hasya Sri Hartati,1,menuhin meoriiiii?!?!,menuhin meori
afif muhni,1,setiap perpanjang manual macam2 masalahnya dialihkan ke opsi dompet digital lain masih sama juga applikasi apa ini,panjang manual alih opsi dompet digital applikasi
Riz 97,1,"kak sya sudah daftar dan sudah bayar juga tpi pas mau masuk email malah salah kata sandi, pdahal sudah bnar lalu di suruh bayar lagi, tolong di respon cepat",kak sya daftar bayar pas masuk email salah sandi pdahal bnar suruh bayar tolong respon cepat
Ismiati Timin,1,"kenapa ya tidak bisa masuk, kata sandi benar email benarr, masuk susah banget mana udah daftar lagiiii, disuruh salin link trus TPI GK bisa masukk",masuk sandi email benarr masuk susah banget udah daftar suruh salin link trus masukk
quaneisha syauqiddifa,2,susah login,susah login
Muhammad Hafyalbadali,1,ad lgbt jir,lgbt jir
Dewi Mira,1,ribet,ribet
Arya Nugraha Ramadhan,5,TERBAIK......,baik
Yuki Mikasa,1,Stop kampanye LGBT,stop kampanye lgbt
Poetera Fadjar,3,"Tolong dong kasih fitur pengaturan pilih audio dan subtitle default. kesel tiap kali nonton/lanjut episode berikutnya, audionya selalu pakai Inggris - dengan deskripsi. masa tiap ganti film atau lanjut episode berikutnya, harus ubah audionya dulu. padahal saya kan ingin selalu pakai audio aslinya dengan subtitle Indonesia.",tolong kasih fitur atur pilih audio subtitle default kesel kali nonton episode audio pakai inggris deskripsi ganti film episode ubah audio pakai audio asli subtitle indonesia
Ir Wandi,1,aplikasi buruk,aplikasi buruk
Izhar Ramadhani,1,maksa banget buat langganan.😡😡,maksa banget langgan
Ahmad Abdul wafi,1,aneh aplikasinya no telp udah bener sandi udah bener tapi gak bisa masuk emang dasar,aneh aplikasi telp udah bener sandi udah bener masuk emang dasar
Jael Fery,1,apk sampah,apk sampah
ilhamuddin Qosim,5,good,good
MANIAC GAMEZ,2,please fix hp saya infinix gt 10 pro awalnya lancar semua video bisa di putar... terus tiba2 beberapa bulan kedepan harus buka tutup netflix kadang bisa kadang gk... untuk video indo pasti terjadi bug ini... udah gw reset segala macam cara seperti ganti pasword dll tetep gk bisa dan terakhir muncul terlalu banyak device yg menggunakan padahal ganti pasword lo.. dan saya berlangganan yg bisa untuk beberapa orang 4 minimal... tapi yg berdapampak hanya di hp saya sangat aneh jika itu bug tolong,please fix infinix pro lancar video putar depan buka tutup netflix kadang kadang video indo bug udah reset ganti pasword dll tetep muncul device ganti pasword langgan orang minimal berdapampak aneh bug tolong
Bang Fajar,1,"gak bagus, sdh di bayar perbulan tapi tidak bisa login,,,. ambil aja uangnya sekalian sedekah",bagus sdh bayar bulan login ambil uang sedekah
mobile legends,5,bagus vidio vidio nya?,bagus vidio vidio nya
I Nyoman Ronal,5,top,top
Iman Player,5,film bagus,film bagus
zafranrazaq Pratama,5,akhirnya bisa nonton anime dengan legal,nonton anime legal
Winda Revita Purba,1,video macetttttttt,video macet
Hakuna Hatahutu,1,"tlong deh ya? q dah byr fiawal 54rb / bln, lah ini plah eror gak bsa byat jonton gmna ? penipuan kah ?",tlong deh dah byr fiawal bln plah eror bsa byat jonton gmna tipu kah
Meli Sartika,1,"mau login aja susah amat, sinting ni apk makin lama makin buat emosi",login susah sinting apk emosi
yucup dua,1,go woke go broke 👎,woke broke
nurindah sari,2,"duhh,, tidak bisa dibuka aplikasi nya?? walaupun udah di un&install lagi app nya...",duhh buka aplikasi nya udah install app nya
Cucun maryamah,2,opsi dongload di perangkat Windows gaada jir padahal alasan gua langganan di perangkat Windows agar nonton layar lebih besar,opsi dongload perangkat windows gaada jir alas gua langgan perangkat windows nonton layar
Ghifarr,1,No LGBT,lgbt
Nur Fathiyah,1,"susah bgt Netflix buat di stik tv gak bisa di buka, padahal udh langganan jadi eror terus klo buka Netflix di tv",susah banget netflix stik buka langgan eror buka netflix
Tessa Novitasari,4,tampilan Netflix sekarang jelek bgt :'(,tampil netflix jelek banget
JOKER5758,5,👍,
Nay A,3,Kaka maaf mau info untuk kualitas Netflix ko sekarang ngga hd lagi ya ? 🙏,kaka maaf info kualitas netflix ngga
Marini Ulfah,1,"kenapa harus ada pembatalan anggota tiba-tiba tanpa ada konfirmasi ke pelanggan. padahal ambil yang premium yg bisa 4-5 perangkat. di telp ke cust service keterangan nya ada aktivitas mencurigakan, sekarang logika nya ngapaiin ambil 5 perangkat kalau hanya 1 jaringan. sengaja ambil yg bisa 5 perangkat agar ketika kita lagi di luar tetap bisa masuk tanpa harus keluar account dari perangkat yg utama. syarat dan ketentuan nya pun terlalu banyak,ini aplikasi berbayar loh bukan gratis. mengecewakan!",batal anggota konfirmasi langgan ambil premium perangkat telp cust service terang nya aktivitas curiga logika nya ngapaiin ambil perangkat jaring sengaja ambil perangkat masuk account perangkat utama syarat tentu nya aplikasi bayar loh gratis kecewa
Hafidz Nugraha,4,tombol download kadang ilang kadang muncul,tombol download kadang ilang kadang muncul
Sri Mulyani,5,mantap,mantap
Mirza Mirzaa,5,bagussss film nyaaa,bagus film nya
gita desimianto,1,kenapa tidak bisa daftar akun? selalu muncul perintah diperlukan pembaruan,daftar akun muncul perintah baru
Moon Zheng,1,masa videonya gak bisa diputar loading mulu,video putar loading mulu
gallery bang ded,1,hari ini kenapa Netflix gak bisa login kenapa,netflix login
Regata gaming,1,"resolusi di handphone saya gk bisa di ubah padahal HP saya termasuk yg yg bisa menggunakan resolusi HD, dan saja juga sudah langganan paket yg bisa nonton HD tapi gk bisa pke.. jadi selagi belum bisa si ubah saya bakal kasih ranting satu",resolusi handphone ubah resolusi langgan paket nonton pke selagi ubah kasih ranting
Mr. X,1,"aplikasi bangke , mau buat akun aja ribet banget ngentod , kapan mau nonton nya asik ngecek email ngecek email🗿",aplikasi bangke akun ribet banget ngentod nonton nya asik ngecek email ngecek email
Farid A. Rosidy,1,Nggak bisa dibuka!!!,buka
berkah usahabersama,5,bagus,bagus
yeni yulansari,1,susah diakses,susah akses
Fuji Setiawan,5,fujisetiawan,fujisetiawan
Citra Ayu Lestari,2,"skrng pendaftaran masuknya emg seribet ini ya?, memperhambat bgt, jdi ga mood nonton yg ada.",skrng daftar masuk emg seribet hambat banget jdi mood nonton
jua akbar,5,sangat baik untuk menonton film,tonton film
Ellya Widayanto,1,"mau login atau buat akun aja error mulu, gimana mau berlangganan",login akun error mulu gimana langgan
Ujo,1,"NETFLIX INDONESIA 👎, GK lengkap sumpah udh langganan mahal""",netflix indonesia lengkap sumpah langgan mahal
Dedi Kenedi Channel,4,Ga jln aplikasinyav,jln aplikasinyav
Ipong Terupong,1,cuman mau daftar aja ribet banget app sebelah nggak seribet ini,cuman daftar ribet banget app belah seribet
tomy nur wibowo,1,jangan berlangganan di netfilx nanti langganan kalian tiba tiba di batalkan tanpa keterangan yang jelas dan tidak bisa di refund!!!!!,langgan netfilx langgan batal terang refund
Alina Kustanti Khairunnisa',1,filmnya gak ada yg mau diliat,film liat
larry setiawan,3,sudah lebih baik sekarang,
lieber 1202,1,ini pertama kali ikut boikot aplikasi karna film yg menghina kristen,kali boikot aplikasi karna film hina kristen
Bunda Aqillah,5,ok,oke
Sitompul Yuri,1,"aplikasi bodoh memaksa upgrade, ga jelas",aplikasi bodoh paksa upgrade
Bulanivanka,5,oc,
Irham Fadly,5,ok mantaf x la.......................,oke mantaf
Fakhri Rizqy,1,woy aplikasi pepek kau balekkan uang ku anj enak kali kau aku enggak langganan lagi kok bisa dana ku ko ambil anj,woy aplikasi pepek kau balekkan uang anj enak kali kau langgan dana ambil anj
gak penting cuk,3,bagaimana caranya untuk stop langganan netflix,stop langgan netflix
MNKY D LUFFY,1,"pas coba masuk akun google kaga bisa kocak padahal sandi udah benar , rela rela ganti sandi demi masuk eh ternyata tetap nga bisa masuk , apk sampah",pas coba masuk akun google kaga kocak sandi udah rela rela ganti sandi masuk nga masuk apk sampah
Rafka Saput,1,pas pengen login kayak gk jelas gitu,pas ken login kayak gitu
puspita sari17,5,seruuuu banyak filem filem horor suka banget sudah mau 1 tahun langganan terus,seru filem filem horor suka banget langgan
Israfil Phil,5,Alhamdulillah ada aplikasi ini bisa nonton tanpa ke bioskop heheh,alhamdulillah aplikasi nonton bioskop heheh
Aiza basmah Basmah,5,Mantep bngt,mantep banget
Uzzu Kwon,1,"Sengaja nyelipin LGBT sama sex di setiap series baru, ga penting banget. Drakor-drakor jadi kotor banget isinya, netflix penghancur drakor...",sengaja nyelipin lgbt sex series banget drakor drakor kotor banget isi netflix hancur drakor
hakim gaming,4,"tolong lebih diperbanyak lagi dubbing indo nya, di anime populer film populer ataupun series populer",tolong banyak dubbing indo nya anime populer film populer series populer
jo maddie,5,keren Topp mantap is the best,keren topp mantap the best
Afifah Ayu,1,"udah daftar kok tetep gabisa masuk, disuruh tempel link dibrowser atau apa itu, yg dimksd itu apa ya?ad yg tau kh?, kesel bgt dicoba berkali² ttp begitu",udah daftar tetep gabisa masuk suruh tempel link browser dimksd tau kesel banget coba kali ttp
Dennis Tri,5,oke,oke
Konan Kalsa,5,good,good
Abu Fatih,1,Cancel Netflix for the health of your kids,cancel netflix for the health your kids
Dian Agung Simatupang,1,"Halo selamat malam admin, untuk anime ONE PIECE, episode 751-1088 kenapa tidak ada ya? Mohon ditanggapi, terima kasih🙏",halo selamat malam admin anime one piece episode mohon tanggap terima kasih
Nadya Dwi lestari,1,rating ga seberapa loginnya susah minta ampun mana mahal bayarnya kocakk pantesan sepi 🤣🤣,rating loginnya susah ampun mahal bayar kocakk pantesan sepi
Ali Tolip,1,Payah gak bisa dibuka percuma di donload,payah buka donload
Namira Ilyas,5,good,good
Infinix Hijau,5,kualitas flimnya bagus sekali,kualitas flimnya bagus
Zufarpolo Zura,5,Gpp bagus aja😊,gpp bagus
Jesriman si,1,sudah berhenti berlangganan masih aja saldo sya dikuras,henti langgan saldo sya kuras
DIKI 5529B,1,"Assalamu'alaikum. Kpd yg terhormat aplikasi netflix. Aplikasi satu satu nya yg sangat jelek. Begitu saya download, dan saya coba daftar pakek gmail, langsung di arah kan ke gmail, di suruh bayar 54.000.itu kita sebagai warga Indonesia yg kurang mampu. Ngapain di buat aplikasi sejelek ini. Saya sangat kecewa.",assalamu alaikum kpd hormat aplikasi netflix aplikasi nya jelek download coba daftar pakek gmail langsung arah gmail suruh bayar warga indonesia ngapain aplikasi jelek kecewa
riyanti 27,1,loginnya susah bgt gilak padahal sandi email ama no hp ga salahhh lohhh knp ga valid Mulu,loginnya susah banget gilak sandi email ama salah loh knp valid mulu
Elly Ezra,5,netflix seru yang drama,netflix seru drama
Hera Yunata,5,Mantap,mantap
Martin,1,"kok ga bisa streaming ya ? check jaringan oke, wifi lancar, video muter2, sudah selesai muter tidak muncul2 videonya?? makin ga jelas apk",streaming check jaring oke wifi lancar video muter selesai muter muncul video apk
M. Rifki Ferdiansyah,5,"Tambahin fitur tonton nanti dong min, fitur daftar saya pantesnya cuman buat film yang favorite banget filmnya",tambahin fitur tonton min fitur daftar pantesnya cuman film favorite banget film
Habiburrahman Elshirazyyy,1,"aneh banget, tiba tiba saldo saya terpotong dan transaksi munujukan berlangganan dengan netflix, saya tidak pernah pakai netflix, tidak punya akun, kenapa saldo saya bisa terpotong tiba tiba, ANEH BANGET",aneh banget saldo potong transaksi munujukan langgan netflix pakai netflix akun saldo potong aneh banget
Alpian,1,jangan download aplikasi ngk jelas,download aplikasi ngk
Garou Toriyama,1,trash streaming,trash streaming
Dina maulana,5,ok,oke
Zeefanya Bellia Qeeran Prayogo,5,bagus aja,bagus
Alfaqir lukman bin Tatang,5,mudah dan update vidionya,mudah update vidionya
roihan 01,4,cukup menarik tapi kalau mau premium bukan 1 bayar aku maunya sekali bayar.,tarik premium bayar mau bayar
Mochamad Rudiasnawan,5,ok,oke
Qfficialyari _STeh,1,"Disuruh bayar ., Daftar aja suruh bayar. Gw kira ada yang free watch.",suruh bayar daftar suruh bayar free watch
Willbrordus Wolo domaking,5,tolong tambahkan film detective Conan terbaru,tolong tambah film detective conan baru
Zila Zila,1,Aplikasinya jelek banget lebih bagus aplikasi sebelah(tahu kah aplikasi mana) aku lebih suka aplikasi sebelah dari pada aplikasi ini!👎,aplikasi jelek banget bagus aplikasi belah kah aplikasi suka aplikasi belah aplikasi
Ikbal Nazrul,4,ini tempat nonton paling favorit pokoknya👍👍👍👍👍👍👍👍👍👍👍👍,nonton favorit pokok
Albert Horman,5,aplikasi ini lumayan bagus walaupun masih ada film yg aku pengen nonton tapi GK ada di Netflix tapi sudah bagus film filmnya juga berkualitas,aplikasi lumayan bagus film ken nonton netflix bagus film film kualitas
Faisal ASEPZz,1,sumpah bener bener nggaa wor it daftar nya suruh bayar,sumpah bener bener nggaa wor daftar nya suruh bayar
Klarisa anesti Indah S,1,kecewa banget udah daftar udah bayar malah ga bisa log in alasan gangguan terus,kecewa banget udah daftar udah bayar log alas ganggu
Jamal Uddin,5,netflix sangat menyenangkan,netflix senang
Sari Winata,1,"udah berlangganan 1080p, kualitasnya masih jelek aja eek",udah langgan kualitas jelek eek
GM ADDICTED BOOK,1,susah,susah
Warung Hp,1,"dulu ga da bayar apa pun kecuali VIP, ini di harus kan walau bukan member VIP , g guna .. duit duit Mulu kalian heran gw..",bayar kecuali vip member vip duit duit mulu heran
Tang chanel,1,"saya juga download masuknya sulit sekali hrs email,email dah g bisa kepake padahal mau nonton aja ribet... uninstall deh",download masuk sulit hrs email email dah kepake nonton ribet uninstall deh
Frenly,1,BURUKKK,buruk
Andi Husaini,5,very god,very god
Indri Mahawira,1,jelek,jelek
Nuril Rohman,5,✌️👍,
Anissa kiren,1,setiap mau nonton ko loading terus ya aneh,nonton loading aneh
Aprili April,5,makasih Netflix sangat mempermudah untuk nonton drakor,makasih netflix mudah nonton drakor
Ilham Ramadhan,1,pembayaran jangan Oto debit Shopee dong!! menyusahkan.ubah pembayaran Via Shopee jadi manual!!!!,bayar oto debit shopee susah ubah bayar via shopee manual
A Haigal Wiriawan,1,gabisa nonton saya,gabisa nonton
